,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
446,Ocimum kilimanscharicum, $3.50 ,Seeds,FS,TP,5 FEET,A H M O R,http://companionplants.com/catalog/images/thumbs/Ocimum%20kilimanscharicum.jpg
447,Ocimum micranthemum, $3.50 ,Seeds,FS,A,20 INCHES,A C H M R,http://companionplants.com/catalog/images/thumbs/Ocimum%20micranthemum.jpg
448,Petroselinum crispum Neopolitanum, $3.50 ,Seeds,PS-FS,B (zones 5-9),10 INCHES,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
449,Pycnanthemum tenuifolium, $3.50 ,Seeds,FS,HP ( zones 5-10),3 FEET,A C E H M N O,http://companionplants.com/catalog/images/Pycnanthemum%20tenuifolium.jpg
450,Ricinus communis 'Zanzibarensis' Seed, $3.50 ,Seeds,FS,A,15 FEET,D M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
451,Salvia lyrata Seed, $3.50 ,Seeds,PS-FS,HP (zones 5-9),18 INCHES,C M N O,http://companionplants.com/catalog/images/thumbs/Salvia%20lyrata.jpg
452,Satureja hortensis Seed, $3.50 ,Seeds,FS,A,18 INCHES,C H M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
453,Satureja montana, $3.50 ,Seeds,FS,HP (zones 5-9),15 INCHES,C H M O,http://companionplants.com/catalog/images/thumbs/Satureja%20montana%20-%20Winter%20Savory.jpg
454,Scutellaria lateriflora, $3.50 ,Seeds,PS-FS,HP,3 FEET,M N,http://companionplants.com/catalog/images/thumbs/Scutellaria%20lateriflora.jpg
455,Solanum nigrum Seed, $3.50 ,Seeds,PS-FS,A,30 INCHES,D L M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
456,Spilanthes acmella, $3.50 ,Seeds,FS,TP,18 INCHES,M O,http://companionplants.com/catalog/images/thumbs/Spilanthus%20achmella.jpg
457,Tagetes minuta seed, $3.50 ,Seeds,FS,A,8 FEET,A C M R,http://companionplants.com/catalog/images/thumbs/Tagetes%20minuta.jpg
